frequency,raw
950.00,0.27
959.50,0.19
969.09,0.12
978.78,0.08
988.57,0.03
998.46,0.00
1008.44,-0.02
1018.53,-0.02
1028.71,-0.02
1039.00,0.00
1049.39,0.03
1059.88,0.06
1070.48,0.11
1081.19,0.16
1092.00,0.22
1102.92,0.29
1113.95,0.36
1125.09,0.44
1136.34,0.52
1147.70,0.61
1159.18,0.69
1170.77,0.78
1182.48,0.87
1194.30,0.96
1206.25,1.05
1218.31,1.14
1230.49,1.22
1242.80,1.30
1255.22,1.39
1267.78,1.47
1280.45,1.54
1293.26,1.62
1306.19,1.69
1319.25,1.76
1332.45,1.83
1345.77,1.89
1359.23,1.96
1372.82,2.02
1386.55,2.08
1400.41,2.14
1414.42,2.19
1428.56,2.25
1442.85,2.30
1457.28,2.35
1471.85,2.40
1486.57,2.45
1501.43,2.50
1516.45,2.54
1531.61,2.59
1546.93,2.64
1562.40,2.69
1578.02,2.73
1593.80,2.78
1609.74,2.83
1625.84,2.89
1642.10,2.94
1658.52,2.99
1675.10,3.05
1691.85,3.11
1708.77,3.18
1725.86,3.26
1743.12,3.34
1760.55,3.42
1778.15,3.51
1795.94,3.60
1813.90,3.71
1832.03,3.82
1850.36,3.94
1868.86,4.07
1887.55,4.20
1906.42,4.35
1925.49,4.50
1944.74,4.66
1964.19,4.82
1983.83,5.00
2003.67,5.18
2023.71,5.37
2043.94,5.57
2064.38,5.78
2085.03,5.99
2105.88,6.21
2126.94,6.44
2148.20,6.67
2169.69,6.91
2191.38,7.16
2213.30,7.42
2235.43,7.67
2257.78,7.94
2280.36,8.20
2303.17,8.48
2326.20,8.76
2349.46,9.02
2372.95,9.31
2396.68,9.59
2420.65,9.86
2444.86,10.14
2469.31,10.41
2494.00,10.69
2518.94,10.96
2544.13,11.25
2569.57,11.52
2595.27,11.80
2621.22,12.09
2647.43,12.36
2673.90,12.64
2700.64,12.92
2727.65,13.21
2754.93,13.49
2782.48,13.78
2810.30,14.07
2838.40,14.36
2866.79,14.66
2895.46,14.95
2924.41,15.23
2953.65,15.45
2983.19,15.53
3013.02,15.47
3043.15,15.26
3073.58,14.81
3104.32,14.27
3135.36,13.62
3166.72,12.91
3198.38,12.24
3230.37,11.62
3262.67,11.11
3295.30,10.77
3328.25,10.54
3361.53,10.40
3395.15,10.40
3429.10,10.42
3463.39,10.41
3498.03,10.41
3533.01,10.42
3568.34,10.43
3604.02,10.45
3640.06,10.46
3676.46,10.46
3713.22,10.46
3750.36,10.45
3787.86,10.43
3825.74,10.39
3864.00,10.36
3902.64,10.30
3941.66,10.23
3981.08,10.15
4020.89,10.05
4061.10,9.95
4101.71,9.81
4142.73,9.69
4184.15,9.55
4226.00,9.38
4268.26,9.22
4310.94,9.05
4354.05,8.87
4397.59,8.68
4441.56,8.50
4485.98,8.32
4530.84,8.12
4576.15,7.93
4621.91,7.75
4668.13,7.56
4714.81,7.39
4761.96,7.22
4809.58,7.06
4857.67,6.91
4906.25,6.76
4955.31,6.64
5004.87,6.54
5054.91,6.45
5105.46,6.39
5156.52,6.36
5208.08,6.34
5260.16,6.35
5312.77,6.40
5365.89,6.47
5419.55,6.57
5473.75,6.70
5528.49,6.84
5583.77,6.99
5639.61,7.16
5696.00,7.33
5752.96,7.48
5810.49,7.63
5868.60,7.75
5927.28,7.84
5986.56,7.89
6046.42,7.89
6106.89,7.87
6167.96,7.79
6229.64,7.67
6291.93,7.52
6354.85,7.35
6418.40,7.14
6482.58,6.95
6547.41,6.74
6612.88,6.54
6679.01,6.37
6745.80,6.22
6813.26,6.11
6881.39,6.05
6950.21,6.02
7019.71,6.06
7089.91,6.18
7160.81,6.36
7232.41,6.61
7304.74,6.95
7377.79,7.35
7451.56,7.82
7526.08,8.34
7601.34,8.87
7677.35,9.37
7754.13,9.82
7831.67,10.14
7909.98,10.36
7989.08,10.37
8068.98,10.20
8149.67,9.87
8231.16,9.37
8313.47,8.72
8396.61,7.99
8480.57,7.22
8565.38,6.41
8651.03,5.64
8737.54,4.89
8824.92,4.22
8913.17,3.60
9002.30,3.03
9092.32,2.53
9183.25,2.07
9275.08,1.65
